latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,tourism
52.499694,13.536384,,Point,node/4110034875,2019-01-01T00:00:00Z,viewpoint
52.4665276,13.4000693,,Point,node/726737662,2019-01-01T00:00:00Z,viewpoint
52.4422747,13.4490092,,Point,node/648069164,2019-01-01T00:00:00Z,information
52.4684553,13.5220949,,Point,node/691537721,2019-01-01T00:00:00Z,picnic_site
52.4382088,13.423254,,Point,node/849536949,2019-01-01T00:00:00Z,information
52.4349921,13.4166619,,Point,node/851492603,2019-01-01T00:00:00Z,viewpoint
52.3553341,13.3076877,,Point,node/1354528778,2019-01-01T00:00:00Z,information
52.4570186,13.3862422,,Point,node/853887519,2019-01-01T00:00:00Z,guest_house
52.4587194,13.3696293,,Point,node/907811981,2019-01-01T00:00:00Z,artwork
52.3711806,13.1343654,,Point,node/1435425830,2019-01-01T00:00:00Z,information
52.3667253,13.2086222,,Point,node/1766651699,2019-01-01T00:00:00Z,guest_house
52.3384733,13.3522963,,Point,node/2784790114,2019-01-01T00:00:00Z,attraction
52.5026329,13.3433634,,Point,node/646574192,2019-01-01T00:00:00Z,hotel
52.3940197,13.4430126,,Point,node/933600169,2019-01-01T00:00:00Z,information
52.505565,13.3295251,,Point,node/663065744,2019-01-01T00:00:00Z,hotel
52.4016713,13.366945,,Point,node/936805821,2019-01-01T00:00:00Z,viewpoint
52.3988167,13.4421552,,Point,node/937964243,2019-01-01T00:00:00Z,hotel
52.5139325,13.6075369,,Point,node/4127743696,2019-01-01T00:00:00Z,artwork
52.396083,13.4241607,,Point,node/937965169,2019-01-01T00:00:00Z,information
52.4412955,13.3950267,,Point,node/1126452585,2019-01-01T00:00:00Z,viewpoint
52.4211028,13.39197,,Point,node/1205003980,2019-01-01T00:00:00Z,hotel
52.5201558,13.61699,,Point,node/4158304002,2019-01-01T00:00:00Z,hotel
52.4325245,13.4211087,,Point,node/1242574916,2019-01-01T00:00:00Z,viewpoint
52.4022041,13.3637084,,Point,node/1270299032,2019-01-01T00:00:00Z,picnic_site
52.5372041,13.6027836,,Point,node/4235023890,2019-01-01T00:00:00Z,information
52.4149405,13.4970289,,Point,node/699536599,2019-01-01T00:00:00Z,hotel
