latitude,longitude,altitude,geometry,@osmId,@snapshotTimestamp,leisure
52.5720527,13.3575155,,Point,node/339587020,2019-01-01T00:00:00Z,playground
52.4623481,13.4715512,,Point,node/3721960081,2019-01-01T00:00:00Z,playground
52.4642368,13.5154293,,Point,node/3781917531,2019-01-01T00:00:00Z,playground
52.4662014,13.4726418,,Point,node/3823253554,2019-01-01T00:00:00Z,playground
52.4549885,13.5198701,,Point,node/3881897124,2019-01-01T00:00:00Z,playground
52.4551116,13.5200371,,Point,node/3882198350,2019-01-01T00:00:00Z,playground
52.4567923,13.5097707,,Point,node/3908227046,2019-01-01T00:00:00Z,tanning_salon
52.4589084,13.5058557,,Point,node/3908290426,2019-01-01T00:00:00Z,adult_gaming_centre
52.3811078,13.1161868,,Point,node/277958294,2019-01-01T00:00:00Z,sports_centre
52.3886771,13.5043433,,Point,node/3925230091,2019-01-01T00:00:00Z,playground
52.3824723,13.0910288,,Point,node/296413606,2019-01-01T00:00:00Z,playground
52.4566719,13.5193384,,Point,node/3972068385,2019-01-01T00:00:00Z,sports_centre
52.3656687,13.3072162,,Point,node/336246923,2019-01-01T00:00:00Z,playground
52.3642923,13.3076535,,Point,node/336247002,2019-01-01T00:00:00Z,playground
52.375011,13.2286511,,Point,node/340393362,2019-01-01T00:00:00Z,playground
52.5770247,13.2838394,,Point,node/339594491,2019-01-01T00:00:00Z,playground
52.5639123,13.3578052,,Point,node/366626801,2019-01-01T00:00:00Z,playground
52.3820323,13.2808109,,Point,node/348321369,2019-01-01T00:00:00Z,playground
52.3790283,13.1220224,,Point,node/434725535,2019-01-01T00:00:00Z,playground
52.4637474,13.3213337,,Point,node/2399895422,2019-01-01T00:00:00Z,pitch
52.3630328,13.1352186,,Point,node/495253478,2019-01-01T00:00:00Z,playground
52.3629972,13.1364801,,Point,node/495253501,2019-01-01T00:00:00Z,playground
52.3737399,13.1047306,,Point,node/569934279,2019-01-01T00:00:00Z,playground
52.3469695,13.0970092,,Point,node/1118676864,2019-01-01T00:00:00Z,playground
52.3497741,13.1035031,,Point,node/1118821847,2019-01-01T00:00:00Z,tanning_salon
52.4565346,13.5195234,,Point,node/3972068386,2019-01-01T00:00:00Z,playground
52.3742551,13.1349531,,Point,node/1207917326,2019-01-01T00:00:00Z,playground
52.3679924,13.1389558,,Point,node/1275848615,2019-01-01T00:00:00Z,playground
52.3665921,13.1416813,,Point,node/1275848635,2019-01-01T00:00:00Z,playground
52.3683629,13.1395038,,Point,node/1275848674,2019-01-01T00:00:00Z,playground
52.4623254,13.529981,,Point,node/4219866805,2019-01-01T00:00:00Z,playground
52.3674463,13.1427513,,Point,node/1275848686,2019-01-01T00:00:00Z,playground
52.4652028,13.4760258,,Point,node/4415989126,2019-01-01T00:00:00Z,playground
52.3676332,13.1383986,,Point,node/1275848691,2019-01-01T00:00:00Z,playground
52.4635028,13.4756416,,Point,node/4415989699,2019-01-01T00:00:00Z,playground
52.6395425,13.3236992,,Point,node/492018705,2019-01-01T00:00:00Z,playground
52.3682523,13.1393567,,Point,node/1275848693,2019-01-01T00:00:00Z,playground
52.4620074,13.5124714,,Point,node/4420389490,2019-01-01T00:00:00Z,sports_centre
52.3672713,13.1381958,,Point,node/1275848733,2019-01-01T00:00:00Z,playground
52.4670248,13.4808804,,Point,node/4426813653,2019-01-01T00:00:00Z,playground
52.3676011,13.1424379,,Point,node/1275848769,2019-01-01T00:00:00Z,playground
52.4676928,13.4860986,,Point,node/4426813698,2019-01-01T00:00:00Z,playground
52.617855,13.337092,,Point,node/492022212,2019-01-01T00:00:00Z,playground
52.4662612,13.4875893,,Point,node/4712129082,2019-01-01T00:00:00Z,fitness_centre
52.468851,13.4926986,,Point,node/4717970757,2019-01-01T00:00:00Z,playground
52.3998711,13.5333329,,Point,node/4830356823,2019-01-01T00:00:00Z,sports_centre
52.6326935,13.3507281,,Point,node/503219429,2019-01-01T00:00:00Z,playground
52.4637604,13.3214542,,Point,node/2399895424,2019-01-01T00:00:00Z,pitch
52.4500165,13.4505762,,Point,node/4993228869,2019-01-01T00:00:00Z,playground
52.6427795,13.3390683,,Point,node/600379026,2019-01-01T00:00:00Z,horse_riding
52.5646251,13.3249268,,Point,node/652418750,2019-01-01T00:00:00Z,sports_centre
52.6058342,13.3342296,,Point,node/661117344,2019-01-01T00:00:00Z,playground
52.6116913,13.3235651,,Point,node/661123172,2019-01-01T00:00:00Z,playground
52.610095,13.3183407,,Point,node/693822441,2019-01-01T00:00:00Z,sauna
52.60259,13.348505,,Point,node/693832366,2019-01-01T00:00:00Z,sauna
52.3674191,13.142078,,Point,node/1275848784,2019-01-01T00:00:00Z,playground
52.5764014,13.3491679,,Point,node/801751867,2019-01-01T00:00:00Z,playground
52.5762781,13.2769885,,Point,node/1145597646,2019-01-01T00:00:00Z,playground
52.6125208,13.3453095,,Point,node/1180858925,2019-01-01T00:00:00Z,playground
52.6131489,13.344435,,Point,node/1227688289,2019-01-01T00:00:00Z,playground
52.3593191,13.0957678,,Point,node/1359318973,2019-01-01T00:00:00Z,playground
52.6137612,13.3458136,,Point,node/1227688844,2019-01-01T00:00:00Z,playground
52.4506031,13.4504474,,Point,node/4993228871,2019-01-01T00:00:00Z,playground
52.3570634,13.0902893,,Point,node/1359318985,2019-01-01T00:00:00Z,playground
52.5860926,13.3035729,,Point,node/1476399655,2019-01-01T00:00:00Z,playground
52.3746594,13.0968713,,Point,node/1424930028,2019-01-01T00:00:00Z,playground
52.3946108,13.495708,,Point,node/5017494173,2019-01-01T00:00:00Z,playground
52.3754291,13.1167745,,Point,node/1486169355,2019-01-01T00:00:00Z,beach
52.4586762,13.4528486,,Point,node/5088394443,2019-01-01T00:00:00Z,pitch
52.4586124,13.4528964,,Point,node/5088394444,2019-01-01T00:00:00Z,pitch
52.4638016,13.321402,,Point,node/2399895434,2019-01-01T00:00:00Z,pitch
52.4584962,13.4529792,,Point,node/5088394445,2019-01-01T00:00:00Z,pitch
52.4636877,13.5120119,,Point,node/5175775127,2019-01-01T00:00:00Z,pitch
52.4378025,13.4550944,,Point,node/5477244417,2019-01-01T00:00:00Z,playground
52.4333421,13.35579,,Point,node/2496328724,2019-01-01T00:00:00Z,fitness_centre
52.4332145,13.358619,,Point,node/2496464225,2019-01-01T00:00:00Z,playground
52.5981927,13.3499556,,Point,node/1477970325,2019-01-01T00:00:00Z,pitch
52.43206,13.3579297,,Point,node/2496464228,2019-01-01T00:00:00Z,playground
52.4684321,13.320738,,Point,node/2581028510,2019-01-01T00:00:00Z,playground
52.3632937,13.1337516,,Point,node/1491973193,2019-01-01T00:00:00Z,pitch
52.4698086,13.3267366,,Point,node/2581046821,2019-01-01T00:00:00Z,playground
52.408704,13.3046314,,Point,node/2638359484,2019-01-01T00:00:00Z,playground
52.4085469,13.3057043,,Point,node/2638359485,2019-01-01T00:00:00Z,playground
52.409263,13.3033451,,Point,node/2640206856,2019-01-01T00:00:00Z,playground
52.4329258,13.5263325,,Point,node/5478343760,2019-01-01T00:00:00Z,pitch
52.4363433,13.2724311,,Point,node/2876974201,2019-01-01T00:00:00Z,playground
52.3634825,13.1392647,,Point,node/1657364481,2019-01-01T00:00:00Z,sports_centre
52.4526486,13.3207504,,Point,node/2917674472,2019-01-01T00:00:00Z,pitch
52.3827745,13.2804094,,Point,node/1682115199,2019-01-01T00:00:00Z,playground
52.3822441,13.283848,,Point,node/1682115213,2019-01-01T00:00:00Z,playground
52.429498,13.3299541,,Point,node/3670161823,2019-01-01T00:00:00Z,fitness_centre
52.4329118,13.5262812,,Point,node/5478343761,2019-01-01T00:00:00Z,pitch
52.4303169,13.3119362,,Point,node/3840700387,2019-01-01T00:00:00Z,miniature_golf
52.4328924,13.5262438,,Point,node/5478343762,2019-01-01T00:00:00Z,pitch
52.4622743,13.3252442,,Point,node/3841253417,2019-01-01T00:00:00Z,fitness_centre
52.4260425,13.4582389,,Point,node/5509115061,2019-01-01T00:00:00Z,pitch
52.4053294,13.3034227,,Point,node/3920152204,2019-01-01T00:00:00Z,swimming_pool
52.4071931,13.3007901,,Point,node/3920165956,2019-01-01T00:00:00Z,swimming_pool
52.4678848,13.4689701,,Point,node/5745608442,2019-01-01T00:00:00Z,picnic_table
52.5841064,13.2770771,,Point,node/1505584114,2019-01-01T00:00:00Z,marina
52.4678836,13.4690016,,Point,node/5745608443,2019-01-01T00:00:00Z,pitch
52.4578205,13.4707853,,Point,node/5843722345,2019-01-01T00:00:00Z,garden
52.6448881,13.3592626,,Point,node/1560584878,2019-01-01T00:00:00Z,playground
52.4572678,13.4682365,,Point,node/5843722346,2019-01-01T00:00:00Z,garden
52.5958467,13.3592345,,Point,node/1773961567,2019-01-01T00:00:00Z,playground
52.6178117,13.3357798,,Point,node/1800383252,2019-01-01T00:00:00Z,water_park
52.5853783,13.2833635,,Point,node/1830502277,2019-01-01T00:00:00Z,playground
52.5855926,13.2861438,,Point,node/1830502307,2019-01-01T00:00:00Z,playground
52.3643126,13.1329531,,Point,node/1691020929,2019-01-01T00:00:00Z,playground
52.5802544,13.2758816,,Point,node/1937154972,2019-01-01T00:00:00Z,marina
52.5649559,13.325206,,Point,node/1989921391,2019-01-01T00:00:00Z,dance
52.588898,13.286528,,Point,node/2126006003,2019-01-01T00:00:00Z,sports_centre
52.5808358,13.319023,,Point,node/2402229820,2019-01-01T00:00:00Z,playground
52.363285,13.1340954,,Point,node/1708942100,2019-01-01T00:00:00Z,playground
52.5895385,13.3001231,,Point,node/2432727153,2019-01-01T00:00:00Z,playground
52.4905082,13.3192389,,Point,node/129929203,2019-01-01T00:00:00Z,pitch
52.5665164,13.295436,,Point,node/2493770714,2019-01-01T00:00:00Z,playground
52.5809093,13.3009062,,Point,node/2627200319,2019-01-01T00:00:00Z,playground
52.3642757,13.1346661,,Point,node/1708942175,2019-01-01T00:00:00Z,playground
52.4886132,13.3193928,,Point,node/268960623,2019-01-01T00:00:00Z,pitch
52.596692,13.3552267,,Point,node/2690994059,2019-01-01T00:00:00Z,sports_centre
52.369265,13.1032578,,Point,node/1891843467,2019-01-01T00:00:00Z,playground
52.4729592,13.3280898,,Point,node/297512121,2019-01-01T00:00:00Z,pitch
52.6232343,13.319297,,Point,node/2782835418,2019-01-01T00:00:00Z,playground
52.3659482,13.103337,,Point,node/1901137847,2019-01-01T00:00:00Z,sports_centre
52.600138,13.3579843,,Point,node/2849567103,2019-01-01T00:00:00Z,playground
52.3737949,13.0951552,,Point,node/2275878387,2019-01-01T00:00:00Z,pitch
52.6072123,13.3235204,,Point,node/2851949843,2019-01-01T00:00:00Z,sports_centre
52.4508066,13.3386729,,Point,node/4264204397,2019-01-01T00:00:00Z,adult_gaming_centre
52.458268,13.3513026,,Point,node/4293352989,2019-01-01T00:00:00Z,playground
52.4288314,13.3279248,,Point,node/4363650542,2019-01-01T00:00:00Z,tanning_salon
52.4467195,13.3424696,,Point,node/4446537033,2019-01-01T00:00:00Z,fitness_centre
52.4452656,13.342321,,Point,node/4508109445,2019-01-01T00:00:00Z,playground
52.4188392,13.3590907,,Point,node/4564107683,2019-01-01T00:00:00Z,sports_centre
52.4282205,13.328657,,Point,node/4572112192,2019-01-01T00:00:00Z,fitness_centre
52.4525757,13.320611,,Point,node/4638143754,2019-01-01T00:00:00Z,playground
52.4476747,13.3299554,,Point,node/4708482839,2019-01-01T00:00:00Z,pitch
52.4471795,13.3350298,,Point,node/4708482840,2019-01-01T00:00:00Z,pitch
52.4472325,13.3349696,,Point,node/4708482841,2019-01-01T00:00:00Z,pitch
52.4418113,13.3388469,,Point,node/4751332220,2019-01-01T00:00:00Z,pitch
52.4486053,13.3485802,,Point,node/4782976741,2019-01-01T00:00:00Z,pitch
52.4183617,13.2879531,,Point,node/4861464949,2019-01-01T00:00:00Z,fitness_centre
52.4427067,13.3531123,,Point,node/4947141263,2019-01-01T00:00:00Z,pitch
52.4427108,13.353284,,Point,node/4947141264,2019-01-01T00:00:00Z,pitch
52.4490155,13.3504369,,Point,node/5168682624,2019-01-01T00:00:00Z,playground
52.4337725,13.3416871,,Point,node/5249521676,2019-01-01T00:00:00Z,fitness_centre
52.4682848,13.3148342,,Point,node/5303304022,2019-01-01T00:00:00Z,pitch
52.463396,13.3138755,,Point,node/5303306939,2019-01-01T00:00:00Z,pitch
52.4565026,13.2724957,,Point,node/5309730307,2019-01-01T00:00:00Z,playground
52.4197256,13.2824954,,Point,node/5354313636,2019-01-01T00:00:00Z,playground
52.4488187,13.3428335,,Point,node/5505607691,2019-01-01T00:00:00Z,pitch
52.4522611,13.3524503,,Point,node/5505607692,2019-01-01T00:00:00Z,pitch
52.4478251,13.3303788,,Point,node/5505607693,2019-01-01T00:00:00Z,pitch
52.4656332,13.3216347,,Point,node/5636967370,2019-01-01T00:00:00Z,pitch
52.4401559,13.346311,,Point,node/5713919935,2019-01-01T00:00:00Z,pitch
52.4662092,13.3300291,,Point,node/5752481843,2019-01-01T00:00:00Z,dance
